0,1,2,3,4,5
(단위: 원),,,,,
구   분,장부금액,계약상현금흐름,1년 이내,1~5년,5년 초과
현금및현금성자산,"43,336,272,729","43,336,272,729","43,336,272,729",-,-
단기금융자산,"500,000,000","500,000,000","500,000,000",,
매출채권및기타채권,"150,392,740,952","150,416,130,602","148,921,904,722","1,494,225,880",-
공정가치측정금융자산,"121,669,997,683","121,669,997,683","13,313,108,084","47,638,792,276","60,718,097,323"
상각후원가측정금융자산,"50,069,602,566","50,069,602,566","40,000,000,000","10,069,602,566",
장기대여금,"165,091,056","178,828,592",-,"178,828,592",-
합  계,"366,133,704,986","366,170,832,172","246,071,285,535","59,381,449,314","60,718,097,323"
