0,1
세무조사년도,2024년
귀속년도,2021년
세무조사 결과,"정기 세무조사(서울지방국세청, '25년 1월 결과고지),
고지세액 593,832천원(확정세액 593,851천원, 국세기준)"
세목,법인세 등
고지세액,"593,832"
확정세액,"593,851"
