0,1,2,3,4,5
구분,"5
년
(22
년
-26
년
)
전략적자산배분
목표수익률","2025
년",,,
,,목표수익률,수익률차이,투자액,비중
소비자물가상승률,1.76%,2.00%,+0.24%,"1,443
억원",83.7%
"안전마진 스프레드
)",0.64%,1.08%,+0.44%,,
혁신투자수익률,4.34%,4.34%,-,"282
억원",16.3%
전체  여유자금,2.72%,3.31%,+0.59%,"1,725
억원",100%
