0,1,2,3,4
연도,신청,선정,"공영매체
집행실적","지원금 합계
(
제작비 송출비
)"
"2020
년",사90,사38,"170
백만원","361
백만원"
"2021
년","135
사",사34,"156
백만원","305
백만원"
"2022
년","178
사",사53,"226
백만원","473
백만원"
"2023
년","175
사",사66,"213
백만원","593
백만원"
누계,사578,사191,"765
백만원","1,731
백만원"
