0,1,2
연번,화환대 전달 사항,집행일자
1,"◲◲◲
광고주 
대표 부친상 근조화환 전달",2020-11-18
2,"◲◲◲
광고회사  
●●●● 
과장 화환 전달",2020-11-19
3,"◲◲◲
 
◎◎◎ 
대표이사 회장 취임 축하난 전달",2020-1-12
4,"◲◲◲ ◴◴◴
광고회사 
PD 
화환 전달",2021-3-12
5,"◲◲◲
청주 
◎◎◎ 
본부장 모친상 근조화환 전달",2021-4-1
6,"◴◴◴
◨◨◨
대전
경영국장 승진 축하난 전달",2021-5-6
7,"◲◲◲
◈◈◈ 
본부장 취임 축하난 전달",2021-6-21
8,"청주
☆☆☆ ☎☎ 
개국 축하난 전달",2021-8-18
9,"◲◲◲
광고회사 
◎◎◎ 
사원 결혼 화환 전달",2021-12-5
10,"◴◴◴ ◨◨◨
대전 
총국장 취임난 전달",2021-12-13
11,"대전 
◈◈◈ 
신임 사장신부 취임 화환 구입",2021-12-16
12,"◴◴◴ ◨◨◨
충북
본부장 모친상 근조화환 전달",2021-12-11
13,"□□□ 
사무실이전 축하난구입",2022-2-25
14,"청주
●●●● 
사장스님 취임 축하난 구입전달",2022-4-12
15,"◴◴◴◴◴
사장 빙부상 근조화환 구입전달",2022-4-12
16,"장 빙모상 근조화환 전달
대전 ◴◴◴ ○○○ 사",2022-4-17
17,대전 ◲◲◲ 신임본부장 취임축하난 전달,2022-6-21
18,"(
주
)
◑◑◑ 
창립
27
주년 및 맹동공장 준공 기념 축하난 전달",2022-6-14
19,"승진축하난 구입 전달
▒▒▒ ",2022-10-4
20,"22
주년 축하난 전달
대전 ◈◈◈ 개국",2022-12-1
21,"󰁪󰁪󰁪
마케팅 
○○○부장 취임 축하난",2023-2-8
22,"광고회사  주
)󰁶󰁶󰁶
사무실 이전 기념 축하난 전달",2023-4-24
23,"󰁋󰁋󰁋
학술대회 축하난 전달",2023-6-16
24,"◴◴◴
◎◎◎ 
본부장 취임 축하난 전달",2023-7-3
25,대전 ◲◲◲ ○○○ 차장 자녀결혼 화환전달,2023-9-15
26,충북◴◴◴ ○○○ 총무국장 퇴직화환 전달,2023-12-19
27,"대전◲◲◲
○○○ 대표 취임 축하난 전달",2023-12-20
28,"대전 
◈◈◈ 
사원 결혼 축하난 구입",2023-12-1
29,"●●●● □□ 
신임홍보팀장 부임 축하난 전달",2024-2-1
30,"☆☆☆ ◴◴◴
대표 취임 축하난 구입",2024-3-20
