0,1,2,3,4,5,6,7,8,9,10,11
구분,,"2020년 반
기","2020년 결
산","2021년 반
기","2021년 결
산","2022년 반
기","2022년 결
산","2023년 반
기","2023년 결
산","2024년 반
기","2024년 결
산"
자산,유동자산,-,"302,137","268,743","271,039","245,332","274,219","199,104","247,770","194,547","143,297"
,"비유동자
산",-,"261,911","272,010","280,426","286,525","278,396","263,475","258,379","283,014","292,716"
,자산총계,0,"564,048","540,753","551,465","531,857","552,615","462,579","506,149","477,561","436,013"
부채,유동부채,-,"233,325","210,327","231,799","216,802","252,065","164,412","215,893","189,286","155,866"
,"비유동부
채",-,"12,771","13,886","12,645","13,486","12,865","13,025","13,312","13,570","13,129"
,부채총계,0,"246,096","224,213","244,444","230,288","264,930","177,437","229,205","202,856","168,995"
자본,자본금(A),-,"300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000"
,기타(B),-,"17,952","16,541","7,021","1,569","-12,315","-14,858","-23,057","-25,296","-32,982"
,"지배기업
의
소유주 지
분
(A+B)",0,"317,952","316,541","307,021","301,569","287,685","285,142","276,943","274,704","267,018"
,"비지배지
분",-,-,-,-,-,-,-,-,-,-
,자본총계,0,"317,952","316,541","307,021","301,569","287,685","285,142","276,943","274,704","267,018"
부채비율,,-,77.4,70.83,79.62,76.36,92.09,62.23,82.76,73.85,63.29
재무현황자료,,"해당사항 없
음","2020(ifrs)연
결재무상태
표.pdf","2021반기
(ifrs) 연결
재무상태표
.pdf","2021 연결
재무상태표
.pdf","2022반기
(ifrs) 연결
재무상태표
.pdf","2022 한국
방송광고진
흥공사_연결
재무상태표
.pdf","2023 반기
연결재무상
태표.pdf","2023 한국
방송광고진
흥공사_연결
재무상태표
.pdf","2024 한국
방송광고진
흥공사 반기
연결재무상
태표.pdf","2024 한국
방송광고진
흥공사_연결
재무상태표
.pdf"
별도 재무상태표,,"해당사항 없
음","2020(ifrs)별
도재무상태
표.pdf","2021반기
(ifrs) 별도
재무상태표
.pdf","2021 별도
재무상태표
.pdf","2022반기
(ifrs) 별도
재무상태표
.pdf","2022 한국
방송광고진
흥공사_별도
재무상태표
.pdf","2023 반기
별도재무상
태표.pdf","2023 한국
방송광고진
흥공사_별도
재무상태표
.pdf","2024 한국
방송광고진
흥공사 반기
별도재무상
태표.pdf","2024 한국
방송광고진
흥공사_별도
재무상태표
.pdf"
