0,1,2,3,4
,사회적기업,여성기업,장애인기업,표준사업장
‘22년 실적(참고),"184,710","323,000","28,000","99,533"
향후 개선(예상),"284,710","423,000","128,000","199,533"
개선효과(%),54%↑,31%↑,357%↑,100%↑
