0,1,2,3,4,5
구    분,주석,제 12 기 (당기말),,제 11 기 (전기말),
(3) 비유동비금융부채,20,,"251,518,678",,"252,040,185"
장기선수수익,,"251,518,678",,"252,040,185",
부채총계,,,"228,179,926,203",,"264,226,550,070"
Ⅲ. 자본,,,,,
(1) 납입자본,21,,"325,581,083,487",,"325,581,083,487"
(1) 자본금,,"300,000,000,000",,"300,000,000,000",
(2) 주식발행초과금,,"25,581,083,487",,"25,581,083,487",
(2)  결손금,22,,"(45,071,291,534)",,"(28,272,010,436)"
(1) 미처리결손금,,"(45,071,291,534)",,"(28,272,010,436)",
(3) 기타자본구성요소,23,,"(3,072,282,729)",,"(9,460,457,844)"
(1) 기타포괄손익누계액,,"(3,072,282,729)",,"(9,460,457,844)",
자본총계,,,"277,437,509,224",,"287,848,615,207"
자본과부채총계,,,"505,617,435,427",,"552,075,165,277"
