0,1,2
(단위: 원),,
구   분,당기말,전기말
보통예금,"43,073,725,672","31,108,625,879"
정부보조금(기금),"(66,721,134)","(75,550,270)"
수탁사업자금,"(26,302,658)","(116,717,517)"
합   계,"42,980,701,880","30,916,358,092"
