0,1,2,3,4,5,6
구분,,2020년,2021년,2022년,2023년,평균
자체예산,,426,502,698,721,587
"기금
예산","공사전체
기금예산","12,244","9,712","10,702","11,289","10,987"
,Ⓐ국  기금예산,"5,418","4,295","4,637","5,224","4,894"
,비중,44.3%,44.2%,43.3%,46.3%,44.5%
