0,1,2,3,4,5
구분,"2020
년","2021
년","2022
년","2023
년",")
비고 전년대비"
자력판매 (A),77.3,90.4,104.5,117.9,7.8↑
결합판매 (B),144.8,170.6,152.1,107.1,39.4↓
자력비중 (A/A+B),35%,35%,41%,52%,11%p↑
