0,1,2
구분,직무,단위업무
■팀,"IT전략․
사업기획","1. 전사 중장기 디지털 전략 및 추진계획 수립
  - 중장기 디지털 추진 기본계획 
  - 통합유지운영/통신망 사업자 신규 선정계획 
  - 통합유지운영/통신망 이용 연간계획, 계약연장
 2. 신규 디지털 사업/서비스 기획, 도입, 구축 등 사업관리
 3. 서버/네트워크 등 IT 아키텍쳐 기획 및 관리
 4. 통합유지운영, 정보통신망 등 유지 운영 계약 및 사업관리
 5. 정보화 성과관리 및 EA(Enterprise Architecture) 기획, 관리 업무
 6. 시스템 관련 특허, 상표권 등 관련 업무
 7. 디지털 사업/서비스 관련 이용 활성화 업무(교육, 홍보, 시장조사 등) 
 8. 사무용 OA 장비 도입 및 관리 (PC, 모니터, 프린터, 노트북, 복합기, 전
산 소모품 등) 
 9. 전사 이용 SW(한글/오피스/OS 등) 라이선스 관리"
,IT개발운영,"1. 응용 시스템 구축 및 개발
 2  방송광고  영업지원시스템  기능개선,  고도화  개발(KOBAnet  /  KODEX  / 
CMReview 등)
 3. 전사 경영정보시스템 기능개선, 고도화 개발(포탈 및 그룹웨어/인사/회계
/수금/예산/급여/교육원/연수원/전자세금계산서/조직평가시스템 등)
 4. 응용시스템 운영성과 및 서비스 장애 관리
 5. 영업보고서 등 대외 제출 보고서 전산 지원 업무
 6. KODEX 이용 매체 확대 및 유료 매체사 이용 계약 관리
 7. IT 응용시스템 보안취약점 개선 조치
 8. 이용자 문의 응대 및 시스템 개선 요청사항 관리
 9. 정부, 유관기관 등 대외 협력 및 사업수행 제반 행정"
,"KODEX
광고소재
관리","1. 업로드 광고소재 사전점검 및 오류 소재 재요청
 2. TV/라디오 광고 소재 인코딩, 변환, 아카이브, 전송 업무
 3. 인코딩 및 변환 완료 소재 화질 및 음량 기준 점검
 4. 유료 매체사 광고소재 전송료 정산 및 세금계산서 발행
 5. 사내 방송영상 및 웰컴 보드 편집, 송출"
,"IT
정보보호","1. IT 정보보안 중장기 전략 및 연간 추진계획 수립
 2. 정보보호시스템 구축 및 정보보안 취약점 진단 및 관리
 3. IT 정보보안 정책서/강령/지침/가이드라인/절차/매뉴얼 관리 및 정보보안 
교육, 실태점검 관련 업무
 4. 정보보안 평가 대응 및 사이버위기대응 훈련 실시"
