0,1,2,3,4,5,6
(단위: 원),,,,,,
구분,기초금액,취득/자본적지출,처분,감가상각,기타증감(*1),장부금액
토지,"7,639,520,236",-,-,-,"(232,548,347)","7,406,971,889"
건물,"18,143,573,419","1,433,687,586",-,"(1,268,437,830)","(1,247,676,551)","17,061,146,624"
정부보조금,"(126,306,323)",-,-,"5,374,738",-,"(120,931,585)"
구축물,"994,906,984","188,985,455",-,"(217,077,448)",-,"966,814,991"
차량운반구,"6,000",-,-,-,-,"6,000"
집기와비품,"2,496,953,679","1,077,208,586","(504,000)","(1,072,803,812)",-,"2,500,854,453"
집기와비품(기금),"415,627,402","31,218,000",-,"(257,158,340)",-,"189,687,062"
정부보조금(기금),"(415,627,402)","(31,218,000)",-,"257,158,340",-,"(189,687,062)"
집기와비품(수탁),"14,920,276",-,-,"(12,477,026)",-,"2,443,250"
정부보조금(수탁),"(14,920,276)",-,-,"12,477,026",-,"(2,443,250)"
사용권자산,"296,284,361","199,707,084",-,"(134,364,984)",-,"361,626,461"
합계,"29,444,938,356","2,899,588,711","(504,000)","(2,687,309,336)","(1,480,224,898)","28,176,488,833"
