0
(단위: 원)
"구   분
특수관계자
매출
매입
출자금증가(분배)"
"종속회사
코바코파트너스(주)
62,076,000
6,174,038,000
-"
"관계회사
화이-코바코 콘텐츠 투자조합
232,000,000"
