0,1
사업참여연도,졸업 후 자부담 유치 광고주명
"2020
년","AAAA, BBBB"
"2021
년","CCCC, DDDD(
혁신형연계
)"
"2022
년","EEEE(
혁신형연계
), FFFF(
혁신형연계
), GGGG(
혁신형 연계
)"
"2023
년","HHHH, JJJJ(
혁신형연계
)"
