0,1,2,3,4,5
구    분,주석,제 13 기 (당기말),,제 12 기 (전기말),
Ⅰ. 자산,,,,,
1. 유동자산,,,"142,345,018,731",,"246,898,768,144"
(1) 현금 및 현금성자산,"4,12,32,33",,"18,134,083,040",,"42,980,701,880"
현금,,"18,143,195,619",,"43,073,725,672",
정부보조금,,"(1,921,589)",,"(66,721,134)",
수탁사업자금,,"(7,190,990)",,"(26,302,658)",
(2) 유동금융자산,,,"14,284,640,903",,"53,313,108,084"
"당기손익-공정가치측정금융자산
        (유동)","6,32,33","14,284,640,903",,"13,313,108,084",
유동상각후원가측정금융자산,"7,32,33",-,,"40,000,000,000",
(3) 매출채권 및 기타채권,"5,32,33",,"108,658,878,256",,"148,921,328,701"
단기매출채권,,"106,649,617,987",,"146,528,652,799",
단기미수금,,"1,568,066,458",,"1,491,660,663",
단기미수수익,,"441,193,811",,"901,015,239",
(4) 재고자산,9,,"44,647,391",,"40,379,295"
저장품,,"44,647,391",,"40,379,295",
(5) 당기법인세자산,,,"900,780,120",,"1,283,521,020"
(6) 선급법인지방세,,,"90,075,840",,"128,346,440"
(7) 유동비금융자산,10,,"231,913,181",,"231,382,724"
단기선급비용,,"78,567,380",,"133,372,192",
기타유동비금융자산,,"153,345,801",,"98,010,532",
2. 비유동자산,,,"292,968,105,894",,"258,718,667,283"
(1) 비유동금융자산,,,"158,498,259,826",,"118,591,583,221"
"당기손익-공정가치측정금융자산
       (비유동)","6,32,33","76,017,832,177",,"34,180,123,599",
"기타포괄손익-공정가치측정금융자산
       (비유동)","6,32,33","72,291,438,000",,"74,176,766,000",
비유동상각후원가측정금융자산,"7,32,33","10,041,711,355",,"10,069,602,566",
장기대여금및수취채권,"8,32,33","158,425,275",,"178,828,592",
장기대여금현재가치할인차금,,"(11,146,981)",,"(13,737,536)",
(2) 장기매출채권 및 기타채권,"5,32,33",,"1,322,521,142",,"1,470,836,230"
장기보증금,,"1,338,641,880",,"1,494,225,880",
현재가치할인차금,,"(16,120,738)",,"(23,389,650)",
(3) 유형자산,"11,12,13",,"25,284,494,870",,"28,176,488,833"
토지,,"6,938,783,503",,"7,406,971,889",
건물,,"44,576,991,107",,"46,460,375,290",
