0,1,2
구        분,직      무,단  위  업  무
Ⓑ팀,"미디어․  광고
진흥사업","1.  미디어․광고진흥사업  기획,  개발,  조정,  관리  및  유관부서  정책협력
2.  미디어데이터  인‧검증  관련  기획  및  설계
3.  미디어데이터  인‧검증  관련  협의체  운영  등  대외  협력
4.  광고거래플랫폼  ISP  수립  등  기획  및  설계
5.  국내OTT산업  경쟁력  강화사업  기획  및  설계"
,,"6.  국제OTT포럼  개최  관련  업무
7.  해외OTT시장조사  관련  업무
8.  해외OTT이용자반응분석  관련  업무
9.  미디어․광고  관련  포럼(디지털미디어콘텐츠  진흥  포럼  포함),  심포지움,  세미나  등 
행사  개최  및  지원  업무
10.  미디어․광고  관련  단체  지원  및  협력업무
11.  Big  TV  프로젝트  사무국  업무
12.  기타  미디어‧광고산업  진흥  관련  업무"
,연구사업관리,"1.  정책연구  기획,  수주,  관리
2.  내부연구  및  연구용역  추진  관리
3.  Ⓔ소  행정지원
4.  공사  중장기  발전계획  관련  연구
5.  방송통신광고  산업진흥  관련  연구
6.  정부  정책연구  수행
7.  기금사업  개발  및  전략수립  지원
8.  정부  및  학계  등  대외협력
9.  미디어  및  광고시장  동향  조사
10.  기타  공사업무  수행에  필요한  대내외  활동  및  과제  연구"
,기금사업관리,"1.  소관  기금사업  관련  대외정책협력  및  위탁업무  수행
2.  사업계획서  작성·제출
3.  사업예산  신청,  지출,  수행보고서  작성
4.  사업  지출  결의서,  정산  보고서  및  효과분석  보고서  작성"
Ⓒ팀,"미디어다양성
증진사업
(시청점유율조사)","1.  N스크린시청기록산출조사  설계  및  기획 
2.  N스크린시청기록산출조사  조사업체  선정  및  실사  관리
3.  N스크린시청기록산출조사  결과  활용  및  통합시청점유율  산출
4.  N스크린  시청기록산출조사  전문가  연구반  및  민관협의회  구성  및  운영
5.  통합시청점유율  관련  세미나  기획  및  개최
6.  시청점유율조사  검증  기획
7.  시청점유율조사  검증  연구  업체  선정  및  연구  관리
8.  시청점유율조사  검증  연구반  운영
9.  검증연구  보고서  발간  및  개선권고안  발송
10.  방송사업자별  현황  조사(지분,  소유구조  변동내역  등)  및  매체교환율  등  자료수집"
