0,1,2
구분,직무,단위업무
지사★,광고판매,"(
▩▩
시  및 
▩▩ ▩▩
,
일원
, 
▦▦ ▦▦ ▦▦ ▦▦ ▦▦
, 
관
할구역의  지상파 
DMB 
방송국  등  기타방송국
)
1 
소관매체  영업  관련  업무
2. 
관할구역  광고주  관리  업무"
,영업지원,"1. 
소관매체  수금 운행 신탁관련  업무
2. 
고객서비스  개선  업무
3. 
관할구역  광고회사  계약  및  신탁관리 지급보증  업무
4. 
광고회사의  계약  및  지급보증  업무
5. 
광고회사  대행광고주의  계약  및  신탁관리업무"
,지사운영,"1. 
총무  및  경리  등  지사 지소 운영에  관한  업무
2. 
사무실  및  사택  임차  관련  업무"
"지사 지소
공통","광고판매
(
지사
)","1. 
목표달성계획  수립  및  관리
2. 
매체별  개편 재원관리  및  판매실적관리
3. 
판매제도  개선  업무
4. 
프로그램  및  특집  판매  업무
5. 
지역  광고주  개발  및  관리  업무
6. 
판촉행사  계획  및  집행"
,"영업지원
(
지사
)","1. 
광고회사 광고주  등록 대행계약  및  기본계약서  관리  업무
2. 
지급보증 수금  관리  업무
3. 
광고  운행  관련  업무 운행불일치  현황점검 처리  및  관리 
등)"
,"중소기업
광고지원","1. 
혁신형  중소기업  방송광고  지원  관련  업무 제도홍보 광고
컨설팅  등)
2. 
지역  소상공인  방송광고  지원  관련  업무 제도홍보 지원협
의회  운영  등)"
,"CS
경영","1. 
방송광고  상담  및  지원  등  고객만족도  제고  관련  업무
2. 
지역상생  관련  활동  및  기구  운영
3. 
사회공헌활동  관련  업무"
