0,1,2,3,4
(단위: 원),,,,
구   분,기초,"당기손익에
인식될 금액","자본에 직접
인식될 금액",기말
미지급금(연차수당),"604,475,219","17,671,492",-,"622,146,711"
미지급금(성과급),"1,050,000,000","(2,379,272)",-,"1,047,620,728"
선수수익(임대보증금),"52,778,740","(211,336)",-,"52,567,404"
현재가치할인차금(임차보증금),"8,105,869","(3,217,432)",-,"4,888,437"
이연정부보조금수익,"15,865,557","(1,920,840)",-,"13,944,717"
감가상각비,"537,277,653","(130,590,432)",-,"406,687,221"
현재가치할인차금(장기대여금),"2,597,452","273,693",-,"2,871,145"
기타무형자산손상차손,"57,540,000","(274,000)",-,"57,266,000"
차감할차이관련이연법인세 계,"10,047,373,105","(2,838,361,970)",-,"7,209,011,135"
미수수익,"(104,404,550)","(83,907,635)",-,"(188,312,185)"
퇴직연금운용자산,"(3,468,162,565)","236,979,903",-,"(3,231,182,662)"
일시상각충당금,"(26,524,328)","1,249,627",-,"(25,274,701)"
당기손익- 공정가치측정금융자산 평가이익,"(818,148,022)","818,148,022",-,-
기타포괄-공정가치측정금융자산평가이익,"(141,827,240)","141,827,240",-,-
공기구비품,"(259,213,185)","1,234,348",-,"(257,978,837)"
사용권자산,"(115,885,100)","16,957,970",-,"(98,927,130)"
선급비용(임차보증금),"(1,974,516)","9,402",-,"(1,965,114)"
현재가치할인차금(임대보증금),"(53,154,398)","213,125",-,"(52,941,273)"
선급비용(장기대여금),"(2,597,452)","(273,693)",-,"(2,871,145)"
가산할차이관련이연법인세 계,"(4,991,891,356)","1,132,438,309",-,"(3,859,453,047)"
소 계,"5,055,481,749","(1,705,923,661)",-,"3,349,558,088"
이연법인세 미인식 금액,,,,"3,250,121,366"
이연법인세 인식 금액,,,,"99,436,722"
