0,1,2,3,4
"판매촉진비 
활용처","예산내역 천원(
)",,문서작성일자,
,계획,집행,계획,결과보고
"24
년도  사분기 
중소기업광고주  대상 
판매설명회","2,700","2,362","2024.1.3.
(●국-6)","2024.6.27.
(●국-287)"
"24
년도  사분기 
중소기업  영업정책  관련 
유관기관  협의비","1,800","1,351","2024.1.3.
(●국-7)","2024.6.27.
(●국-288)"
