0,1,2,3
문서명,포함된  개인정보,"전자문서 
보안처리","첨부파일 
암호화"
2022년  2학기  대학교  학자금  대부  시행,"직원  성명,  총대부액,  은행계좌정보, 
직원  자녀의  성명  및  학교,  학과  등",미이행,미이행
2023년  1학기  대학교  학자금  대부  시행,,,
