0,1,2,3
구분,기금예산액(백만원),,비고
,‘24년,‘25년,
방송콘텐츠 가치정보 분석,-,250,공사 인건비 60백만원 포함
방송통신 광고비 조사,82,98,
합계,82,348,266백만원 증액
