0,1,2
구분,시장조사,이용행태  조사
조사국가,"-  ‘22년:  3개국(중국,  멕시코,  브라질)
- ’23년: 4개국(대만, 인도네시아, 일본, UAE)","-  ‘22년:  3개국(미국,  대만,  인도네시아)
- ’23년 : 4개국(멕시코, 브라질, 영국, 일본)"
조사대상,"전문가,  일반인(SVOD  이용자)",SVOD  이용자
샘플수,"전문가  :  국가별  4명  이상
일반인  :  국가별  4명  이상","정량조사:  국가별  1,000~2,000명
심층인터뷰  :  국가별  4명  이상"
조사방법,"심층인터뷰,  문헌조사","온라인  설문조사,  심층인터뷰,  문헌조사"
조사목적,국내  OTT  사업자의  성공적인  해외  진출을  위한  시사점  도출,
