0,1,2,3,4
(단위: 원),,,,
종목명,지분율,취득원가,장부가액,공정가치
케이비문화디지털콘텐츠해외진출 투자조합 출자,7.50%,"2,460,000,000","2,408,061,901","2,408,061,901"
컴퍼니케이 고성장펀드 투자조합 출자(*1),7.87%,"7,000,000,000","7,000,000,000","7,000,000,000"
유니온기술금융투자조합 출자(*1),9.90%,"4,483,120,138","4,483,120,138","4,483,120,138"
스마일게이트엑스알콘텐츠펀드2호(*1),10.64%,"4,200,000,000","4,200,000,000","4,200,000,000"
비엔케이-코바코 광고마케팅 투자조합(*1),16.67%,"3,750,000,000","3,750,000,000","3,750,000,000"
영화 원더랜드 투자금(*1),1.91%,"347,326,695","347,326,695","347,326,695"
영화 더러운 돈에 손대지 마라 투자금(*1),4.22%,"300,000,000","300,000,000","300,000,000"
투자형사모펀드 등,,"67,813,964,346","67,813,964,346","67,813,964,346"
합  계,,"90,354,411,179","90,302,473,080","90,302,473,080"
