0,1,2,3,4,5,6,7,8,9,10
구분,,2020년 반기 2020년 결산 2021년 반기 2021년 결산 2022년 반기 2022년 결산 2023년 반기 2023년 결산 2024년 반기 2024년 결산,,,,,,,,
수익(매출액),-,"124,905","65,132","143,175","72,056","145,664","54,590","119,172","54,118","115,691"
순매출,-,"124,905","65,132","143,175","72,056","145,664","54,590","119,172","54,118","115,691"
매출원가,-,"92,035","46,514","108,062","54,214","110,450","40,419","93,851","40,532","91,335"
판관비,-,"63,362","22,397","50,643","20,765","53,518","20,938","49,508","20,704","45,906"
영업이익,0,"-30,492","-3,779","-15,530","-2,923","-18,304","-6,767","-24,187","-7,118","-21,550"
기타수익,-,277,216,261,173,173,123,123,0,138
기타비용,-,316,228,286,"1,168",152,140,152,7,143
기타이익,-,"42,376",125,217,-300,"-1,002",-207,629,-297,-118
금융수익,-,"6,557","3,423","7,158","3,704","7,305","3,893","11,399","4,258","8,443"
금융원가,-,"2,059",364,"1,214",805,"1,202","2,828","2,938",384,495
지분법대상기업관련,-,992,-76,399,"1,739","2,986",32,"-1,486",-38,-228
