0,1,2,3
(단위: 원),,,
구  분,취득원가,감가상각누계액,장부금액
토  지,"31,366,175,305",-,"31,366,175,305"
건  물,"148,633,646,603","(79,025,213,500)","69,608,433,103"
합  계,"179,999,821,908","(79,025,213,500)","100,974,608,408"
