0,1,2,3,4,5
구    분,주석,제 13 기 (당기말),,제 12 기 (전기말),
정부보조금,,"(115,556,847)",,"(120,931,585)",
감가상각누계액,,"(29,664,875,786)",,"(29,399,228,666)",
구축물,,"6,888,450,257",,"6,866,477,530",
감가상각누계액,,"(6,115,621,774)",,"(5,899,662,539)",
차량운반구,,"90,843,524",,"90,843,524",
감가상각누계액,,"(90,837,524)",,"(90,837,524)",
집기와 비품,,"17,568,907,548",,"16,654,804,682",
감가상각누계액,,"(15,145,727,375)",,"(14,153,950,229)",
집기와 비품(기금),,"1,063,292,880",,"1,419,145,070",
감가상각누계액(기금),,"(1,011,138,071)",,"(1,229,458,008)",
정부보조금(기금),,"(52,154,809)",,"(189,687,062)",
집기와 비품(수탁),,"50,961,200",,"50,961,200",
감가상각누계액(수탁),,"(50,899,200)",,"(48,517,950)",
정부보조금(수탁),,"(62,000)",,"(2,443,250)",
사용권자산,,"571,320,095",,"473,335,552",
감가상각누계액,,"(218,181,858)",,"(111,709,091)",
(4) 투자부동산,14,,"99,904,796,705",,"100,974,608,408"
토지,,"31,834,363,691",,"31,366,175,305",
건물,,"151,746,387,493",,"148,633,646,603",
감가상각누계액,,"(83,675,954,479)",,"(79,025,213,500)",
(5) 영업권 이외의 무형자산,"12,15",,"987,415,904",,"1,151,358,235"
컴퓨터소프트웨어,,"6,532,474,474",,"6,531,466,474",
상각누계액,,"(6,301,146,870)",,"(6,136,196,539)",
컴퓨터소프트웨어(기금),,"95,648,800",,"105,648,800",
상각누계액(기금),,"(95,645,800)",,"(93,068,850)",
정부보조금(기금),,"(3,000)",,"(12,579,950)",
기타무형자산,,"1,030,088,300",,"1,030,088,300",
손상차손누계액,,"(274,000,000)",,"(274,000,000)",
(6) 종속기업투자지분,"16,35",,"300,000,000",,"300,000,000"
(7) 관계기업 및 공동투자지분,"16,35",,"6,418,330,411",,"6,878,801,570"
(8) 순확정급여자산,19,,"140,967,350",,"1,048,977,279"
(9) 이연법인세자산,29,,"99,436,722",,"99,436,722"
(10) 비유동비금융자산,10,,"11,882,964",,"26,576,785"
장기선급비용,,"11,882,964",,"26,576,785",
자산총계,,,"435,313,124,625",,"505,617,435,427"
Ⅱ. 부채,,,,,
1. 유동부채,,,"155,058,180,891",,"214,822,378,382"
(1) 매입채무 및 기타채무,"13,17,32,33,34",,"142,215,350,417",,"202,702,537,933"
단기매입채무,,"130,076,177,463",,"188,393,738,768",
단기미지급금,,"11,371,786,096",,"13,461,035,008",
단기기타보증금,,"577,819,000",,"691,375,360",
