0,1,2,3,4,5,6,7,8
(단위: 원),,,,,,,,
"당기말
전기말
기업명
자산총액
부채총액
매출액
당기순손익
자산총액
부채총액
매출액
당기순손익",,,,,,,,
,,,,,,,,
<종속기업>,,,,,,,,
"코바코파트너스(주)
1,025,073,774
826,103,615
5,998,835,455
12,960,278
966,786,069
780,776,188
5,726,433,725
32,697,617",,,,,,,,
<관계기업>,,,,,,,,
"KTBN 방송영상콘텐츠
전문투자조합","2,054,392,088",-,"198,529,092","198,528,902","2,038,059,516","5,650","2,342,644,141","2,342,304,150"
화이-코바코 콘텐츠 투자조합,"1,800,900,224","51,653,144",,"27,058,230 (2,183,090,547)","4,002,830,196","70,492,569","3,600,084,862","3,227,134,805"
"KTBN 미래콘텐츠
일자리창출 투자조합","26,371,103,202","491,293,774",,"28,031,088 (2,466,015,830)","27,822,931,075","472,005,317","1,488,160,785","1,008,169,894"
