0,1,2,3,4,5
(단위: 원),,,,,
구   분,장부금액,계약상현금흐름,1년 이내,1~5년,5년 초과
현금및현금성자산,"31,445,903,258","31,445,903,258","31,445,903,258",-,-
단기금융자산,"300,000,000","300,000,000","300,000,000",-,-
매출채권및기타채권,"179,508,209,330","179,513,376,471","178,008,444,591","1,504,931,880",-
공정가치측정금융자산,"171,582,691,070","171,582,691,070","48,919,031,895","23,041,561,961","99,622,097,214"
상각후원가측정금융자산,"24,108,978,716","24,108,978,716","14,012,360,575","10,096,618,141",-
장기대여금,"160,434,758","172,803,576",-,"172,803,576",-
합  계,"407,106,217,132","407,123,753,091","272,685,740,319","34,815,915,558","99,622,097,214"
