0,1,2,3
일반분야,직원  수,전문분야,직원  수
감사,"2(
감사수당
)",정보기술,"3(
전산수당 
3)"
재무관리,"1(
세무사
)",사서,-
인사관리,"1(
변호사
)",,
공익광고,-,,
광고영업,"3(
데이터분석 
2, 
지사영업 
1)",,
광고진흥,"2(
사회조사분석 
2)",계,명12
