0,1,2,3,4,5,6,7,8
(단위: 원),,,,,,,,
관련계정,기초금액,당기수령,자산취득,"감가상각비
등과 상계",반납,수익인식,기타증감,기말
현금및현금성자산(기금)(*1),,"66,721,134 11,136,474,384","(3,216,900)",-,"(64,265,830)","(11,134,614,711)","823,512","1,921,589"
현금및현금성자산(수탁),"26,302,658","316,018,863",-,,- -,"(335,296,349)","165,818","7,190,990"
건물 (*2),"120,931,585",-,-,"(5,374,738)",-,-,-,"115,556,847"
집기와비품(기금),"189,687,062",-,"3,216,900","(140,688,153)",-,-,"(61,000)","52,154,809"
집기와비품(수탁),"2,443,250",-,-,"(2,381,250)",-,-,-,"62,000"
컴퓨터소프트웨어(기금),"12,579,950",-,-,"(12,575,950)",-,-,"(1,000)","3,000"
합  계,,"418,665,639 11,452,493,247",-,"(161,020,091)","(64,265,830)","(11,469,911,060)","927,330","176,889,235"
