0,1,2,3,4
정산항목,정산내역서,,"증빙
금액(B)","정산금액과
증빙금액의 차이
(C=B-A)"
,"계약
금액","정산
금액(A)",,
유인물비,550,550,"1,540",+990
응답사례비,"20,000","20,000","120,179","+100,179"
보고서 편집/교정교열,300,300,539,+239
