0,1
(단위: 원),
금융부채,상각후원가측정금융부채
매입채무와기타채무,"202,702,537,933"
비유동성금융부채,"199,407,210"
장기매입채무와기타채무,"12,906,621,933"
합  계,"215,808,567,076"
