0,1,2,3
(단위: 원),,,
구  분,취득원가,감가상각누계액,장부금액
토  지,"31,834,363,691",-,"31,834,363,691"
건  물,"151,746,387,493","(83,675,954,479)","68,070,433,014"
합  계,"183,580,751,184","(83,675,954,479)","99,904,796,705"
