0,1,2,3,4
부서,문서명,기안자,"최종
결재자",소요예산
Ⓑ팀,"OTT가 방송광고시장에 미치는 영향 연구계획
(전자 Ⓐ국-1320, 2022.12.8.)",◁◁◁,◆◆◆,40백만원
Ⓒ팀,"2021년도 미디어다양성 증진사업 결과 보고
(전자 Ⓐ국-419, 2022.3.23.)",◀◀◀,♠♠♠,"3,807백만원"
Ⓓ팀,"2021년도 광고경기전망지수(KAI) 조사사업 결과보고
(전자 Ⓐ국-97, 2022.1.21.)",♤♤♤,◆◆◆,101백만원
,"2022년도 광고경기전망지수(KAI) 조사사업 결과보고
(전자 Ⓐ국-120, 2023.1.31.)",♧♧♧,♣♣♣,103백만원
