0,1
교육일시,개요
"오프라인  1차
2023.9.6.(수)","□  교육  일시  :  2023.  9.  6(수)  14:00~15:00
  □  교육  대상  :  감사팀장  등  6명  (내부전문가  포함)8)
  □  교육  내용  :  정보보안  감사  착안사항  및  감사사례
  □  교육  강사  :  외부전문가  ▣  준법감시인"
"오프라인  2차
2023.9.8.(금)","□  교육  일시  :  2023.  9.  8.(금)
  □  교육  대상  :  감사팀장  등  7명  (내부전문가  포함)
  □  교육  내용  :  경영지침  이행실태  점검  특정감사  중점  점검사항 
  □  교육  방법  :  중점  감사사항  체크리스트  공유  및  감사기법  토론"
"온라인교육
(~9/15)",□  교육  내용  :  IT감사사례  기법(감사원  나라배움터  수강)
