0,1,2,3,4,5,6
사업명,계획문서,,,결과보고문서,,
,작성자,결재자,일상감사,작성자,결재자,일상감사
"2020년 연간 
정보화 추진",G,F,"일상감사 필
(◁국-65,
2020.1.17.)",Q,H,"일상감사 미필
(▲국-60,
2021.1.19.)"
"2021년 연간 
정보화 추진",G,F,"일상감사 필
(▲국-77,
2021.1.25.)",Q,R,"일상감사 미필
(▲국-48,2022.1.17
.)"
"2021년 
원격근무시스템 
구축",Q,F,"일상감사 필
(▲국-503,
2021.9.8.)",Q,R,"일상감사 미필
(▲국-597,
2021.11.24.)"
"2021년 정보통신망 
이용",Q,F,"일상감사 필
(▲국-75,
2021.1.25.)",Q,R,"일상감사 미필
(▲국-44,
2022.1.17.)"
"2023년 지능정보 
서비스 운영",M,R,"일상감사 필
(▲국-210, 
2023.4.17)",Y,L,"일상감사 미필
(▲국-174, 
2024.3.29)"
"2024년 초거대 
인공지능 API 이용",Y,E,"일상감사 필
(▲국-180, 
2024.4.2)",Y,D,"일상감사 미필
(◆센터-141, 
2025.3.5)"
