0,1
(단위: 원),
금융부채,상각후원가측정금융부채
매입채무와기타채무,"237,164,349,000"
비유동성금융부채,"134,979,736"
장기매입채무와기타채무,"12,478,355,678"
합  계,"249,777,684,414"
