0,1,2,3,4,5
연도,과세표준,"법인세
산출세액",세액공제,가산세,결정세액
2024년,"-13,996,235",0,0,0,0
2023년,"-14,005,634",0,0,0,0
2022년,"-9,551,784",0,0,0,0
2021년,"-10,185,329",0,0,0,0
2020년,"9,329,475","1,845,895","343,562",0,"1,502,333"
