0,1,2,3,4
부서,사업명,기안자,전결자,소요예산
Ⓑ팀,"2021년 진흥사업개발전략협의체 운영 및 업무계획
(전자 Ⓐ국-58, 2021.1.15.)",〓〓〓,▥▥▥,"6,400
천원"
,"2022년 진흥사업개발전략협의체 운영 및 업무계획
(전자 Ⓐ국-12, 2022.1.4.)",◁◁◁,♠♠♠,"11,720
천원"
Ⓒ팀,"2020년 미디어다양성 증진사업 기본계획
(전자 Ⓐ국-40, 2020.1.16.)",☏☏☏,사 장,"4,916
백만원"
