0,1,2,3
(단위: 원),,,
구  분,취득원가,감가상각누계액,장부금액
토  지,"31,133,626,958",-,"31,133,626,958"
건  물,"146,993,061,394","(75,023,100,719)","71,969,960,675"
합  계,"178,126,688,352","(75,023,100,719)","103,103,587,633"
