0,1
주요 내용,임대수익(연간)
N팀 본사 14층 이전 및 광고문화회관 임대공간 확보,150백만원 예상
프레스센터 14층 공실 임대공간 확보,120백만원 예상
방송회관 위원 본사 14층 배치 및 임대공간 확보 계획,63백만원 예상
17층 대회의실 / 코바코라운지 리뉴얼 통한 대관수익,0.8백만원 확보
합계,333.8백만원
