0,1,2
소관부서,고정자산명,추가부착 필요 공간
E파트,"한국광고문화회관
(서울 송파구)",옥탑1층 베란다 부분
F파트,"한국방송회관
(서울 양천구)",옥탑2층 헬기착륙장 부분
D단,"kobaco연수원
(경기 양평)","각 객실별 발코니 안전난간 부분
본관·화합관 옥탑층 부분"
