0,1,2,3,4,5
구    분,주석,제 12 기(당기말),,제 11 기(전기말),
Ⅰ.자산,,,,,
1.유동자산,,,"247,769,806,116",,"274,218,707,731"
(1)현금및현금성자산,"4,13,33,34",,"43,336,272,729",,"31,445,903,258"
현금,,"43,429,296,521",,"31,638,171,045",
정부보조금,,"(66,721,134)",,"(75,550,270)",
수탁사업자금,,"(26,302,658)",,"(116,717,517)",
(2)유동금융자산,,,"53,813,108,084",,"63,231,392,470"
당기손익-공정가치측정금융자산(유동),"6,33,34","13,313,108,084",,"48,919,031,895",
유동상각후원가측정금융자산,"7,33,34","40,000,000,000",,"14,012,360,575",
단기금융상품,"9,33,34","500,000,000",,"300,000,000",
(3)매출채권및기타채권,"5,33,34",,"148,921,904,722",,"178,008,444,591"
단기매출채권,,"146,528,654,460",,"175,946,130,256",
단기미수금,,"1,492,235,023",,"1,565,149,809",
단기미수수익,,"901,015,239",,"497,164,526",
(4)재고자산,10,,"41,617,150",,"108,628,916"
저장품,,"41,617,150",,"108,628,916",
(5)당기법인세자산,,,"1,288,510,410",,"1,075,814,100"
(6)선급법인지방세,,,"128,586,520",,"107,579,110"
(7)유동비금융자산,11,,"239,806,501",,"240,945,286"
단기선급비용,,"141,795,969",,"191,790,810",
기타유동비금융자산,,"98,010,532",,"49,154,476",
2.비유동자산,,,"258,378,942,460",,"278,396,460,259"
(1)비유동금융자산,,,"118,591,583,221",,"132,920,712,074"
"당기손익-공정가치측정금융자산
    (비유동)","6,33,34","34,180,123,599",,"39,806,426,175",
"기타포괄손익-공정가치측정금융자산
   (비유동)","6,33,34","74,176,766,000",,"82,857,233,000",
비유동상각후원가측정금융자산,"7,33,34","10,069,602,566",,"10,096,618,141",
장기대여금및수취채권,"8,33,34","178,828,592",,"172,803,576",
장기대여금현재가치할인차금,,"(13,737,536)",,"(12,368,818)",
(2)장기매출채권및기타채권,"5,33,34",,"1,470,836,230",,"1,499,764,739"
장기보증금,,"1,494,225,880",,"1,504,931,880",
현재가치할인차금,,"(23,389,650)",,"(5,167,141)",
(3)유형자산,"12,13,14",,"28,277,847,238",,"29,514,860,231"
토지,,"7,406,971,889",,"7,639,520,236",
건물,,"46,460,375,290",,"46,667,272,913",
