0,1,2,3
구  분,♧♧,♣♣,♥♥
위치,ㄱ,ㄴ,ㄷ
주용도,복합건축물,"업무시설, 근린생활시설",교육연구시설
지구,일반상업지역,"일반상업지역/1종 
미관지구","계획관리지역, 
특정개발진흥지구"
"대지
면적","10,605.40㎡(935평)","4.644㎡(1,404.8평)","369,578㎡(111,797평)"
"건축
면적","1,980.56㎡(566.12평)","2,310㎡(698.79평)","4,465.22㎡(1,351평)"
연면적,"39,054.22㎡(11,813.9평)","51,365.79㎡(15,538.15평)","13,143㎡(3,975평)"
용적률,765.05%,660.54%,15.69%
규모,"지하5층/지상20층
(옥탑2층)","지하6층/지상21층
(옥탑2층)",지하1층/지상4층
준공일,2006.4.26,1998.3.26,1984.12.7
"승강
설비","24인용(3대, 장애인용1대), 
비상(1대), 화물(1대), 
16인용(2대)","24인용(6대, 장애인용1대), 
비상(1대), 화물(1대)","17인용(1대, 장애인용1대)"
