0,1,2,3,4,5,6
(단위: 원),,,,,,
구분,기초금액,취득/자본적지출,처분,감가상각,기타증감(*1),장부금액
토지,"7,406,971,889",-,-,-,"(468,188,386)","6,938,783,503"
건물,"17,061,146,624","1,229,356,707",-,"(1,229,563,162)","(2,148,824,848)","14,912,115,321"
정부보조금,"(120,931,585)",-,-,"5,374,738",-,"(115,556,847)"
구축물,"966,814,991","21,972,727",-,"(215,959,235)",-,"772,828,483"
차량운반구,"6,000",-,-,-,-,"6,000"
집기와비품,"2,500,854,453","1,046,401,692","(236,000)","(1,123,839,972)",-,"2,423,180,173"
집기와비품(기금),"189,687,062","3,216,900","(61,000)","(140,688,153)",-,"52,154,809"
정부보조금(기금),"(189,687,062)","(3,216,900)","61,000","140,688,153",-,"(52,154,809)"
집기와비품(수탁),"2,443,250",-,-,"(2,381,250)",-,"62,000"
정부보조금(수탁),"(2,443,250)",-,-,"2,381,250",-,"(62,000)"
사용권자산,"361,626,461","180,043,902",-,"(188,532,126)",-,"353,138,237"
합계,"28,176,488,833","2,477,775,028","(236,000)","(2,752,519,757)","(2,617,013,234)","25,284,494,870"
