0,1,2,3,4,5,6
(단위: 원),,,,,,
구분,기초,취득,처분,평가,기타,기말
당기손익-공정가치측정금융자산(유동),"48,919,031,895","80,000,000,000","(118,656,350,251)","(2,127,606,697)","5,178,033,137","13,313,108,084"
당기손익-공정가치측정금융자산(비유동),"39,806,426,175","2,050,000,000","(2,846,908,363)","348,638,924","(5,178,033,137)","34,180,123,599"
소  계,"88,725,458,070","82,050,000,000","(121,503,258,614)","(1,778,967,773)",-,"47,493,231,683"
기타포괄손익-공정가치측정금융자산(유동),-,-,-,-,-,-
기타포괄손익-공정가치측정금융자산(비유동),"82,857,233,000","20,111,970,109","(35,180,612,224)","6,388,175,115",-,"74,176,766,000"
소  계,"82,857,233,000","20,111,970,109","(35,180,612,224)","6,388,175,115",-,"74,176,766,000"
